course,mse,mae
09.03.01,0.20296145975589752,0.36652612686157227
11.03.02,0.27456504106521606,0.4373089671134949
11.03.03,0.2930424213409424,0.44228214025497437
11.03.04,0.20697231590747833,0.3745967745780945
27.03.04,0.24311915040016174,0.416338711977005
09.03.04,0.28967249393463135,0.4218522906303406
01.03.02,0.31564030051231384,0.4559992551803589
13.03.02,0.212831512093544,0.37247905135154724
12.03.01,0.22754643857479095,0.4028051197528839
12.03.04,0.29552194476127625,0.4800738990306854
27.03.02,0.3027437627315521,0.463178813457489
38.03.02,0.7003058195114136,0.6569188237190247
27.03.05,0.7306709885597229,0.6908751130104065
45.03.02,0.346671998500824,0.4873196482658386
42.03.01,0.28196874260902405,0.45962387323379517
11.03.01,0.17461350560188293,0.3262571692466736
28.03.01,0.38853636384010315,0.5320228934288025
09.03.02,0.24013209342956543,0.41271594166755676
20.03.01,0.33900246024131775,0.4434417486190796
38.03.01,9.17078971862793,3.005075693130493
27.03.03,0.26446112990379333,0.46292227506637573
10.05.01,11.323456764221191,3.2905852794647217
