course,mse,mae
09.03.01,0.1674164147755155,0.3315714530765975
11.03.02,0.18060972204530043,0.36651930492483403
11.03.03,0.22417939563197553,0.39874507728411235
11.03.04,0.186063116565205,0.3536109059449598
27.03.04,0.22817142860792197,0.3816528245055705
09.03.04,0.2036967068495424,0.38367374939775284
01.03.02,0.10145338950454069,0.27301423658450397
13.03.02,0.19778780454709166,0.3604244440725447
12.03.01,0.17723449603632563,0.3488774317336076
12.03.04,0.13768927055313357,0.31500324816181985
27.03.02,0.0920006784390116,0.27040318679958464
38.03.02,0.34673906739551186,0.532344208391496
27.03.05,0.1520887815318745,0.30325282248805174
45.03.02,0.2047502057858889,0.3770988021481368
42.03.01,0.20568509682329558,0.37290331227451523
11.03.01,0.1331866144771157,0.2930616344766374
28.03.01,0.23603279597227725,0.40335988111057147
09.03.02,0.11884908784356966,0.26954285882222995
20.03.01,0.2787985124675175,0.4407119754721002
38.03.01,0.06586229038414278,0.22477800801715409
27.03.03,0.11406488012571747,0.2691064470941698
10.05.01,29.459896184424135,5.427697134552013
